code,name,faculty,duration,type,branch,section,year,credits,semesterHalf,basket,isElective,sharedWith
MA161,Statistics,Dr. Ramesh Athe,1,Lecture,CSE,A,1,2,1,0,FALSE,CSE-B
DS161,Introduction to DS and AI,Dr. Abdul Wahid,1,Lecture,CSE,A,1,2,1,0,FALSE,CSE-B
MA162,Probability,Dr. Chinmayananda,1,Lecture,CSE,A,1,2,2,0,FALSE,
EC161,Digital Design,Dr. Prakash Pawar,1,Lecture,CSE,A,1,2,2,0,FALSE,
CS161,Problem Solving through Programming,Dr. Sunil Kumar PV,1,Lecture,CSE,A,1,4,0,0,FALSE,
HS161,English Language and Communication,Dr. Rajesh N S,1,Lecture,CSE,A,1,3,0,0,FALSE,
MA161,Statistics,Dr. Ramesh Athe,1,Lecture,CSE,B,1,2,1,0,FALSE,CSE-A
DS161,Introduction to DS and AI,Dr. Abdul Wahid,1,Lecture,CSE,B,1,2,1,0,FALSE,CSE-A
MA162,Probability,Dr. Chinmayananda,1,Lecture,CSE,B,1,2,2,0,FALSE,
EC161,Digital Design,Dr. Prakash Pawar,1,Lecture,CSE,B,1,2,2,0,FALSE,
EC161,Digital Design,Dr. Prakash Pawar,1,Lab,CSE,B,1,2,2,0,FALSE,
EC161,Digital Design,Dr. Prakash Pawar,1,Lab,CSE,A,1,2,2,0,FALSE,
CS161,Problem Solving through Programming,Dr. Sunil Kumar PV,1,Lecture,CSE,B,1,4,0,0,FALSE,
CS161,Problem Solving through Programming,Dr. Sunil Kumar PV,1,Lab,CSE,B,1,4,0,0,FALSE,
CS161,Problem Solving through Programming,Dr. Sunil Kumar PV,1,Lab,CSE,A,1,4,0,0,FALSE,
HS161,English Language and Communication,Dr. Rajesh N S,1,Lecture,CSE,B,1,3,0,0,FALSE,
PH151,Introduction to Quantum Physics,Prof. Ravishankar,1,Lecture,CSE,A,1,2,1,1,TRUE,"ECE,DSAI"
DS151,Linux for Engineers,Dr. Vivekraj V K,1,Lecture,CSE,A,1,2,1,1,TRUE,"ECE,DSAI"
NEW,Fundamentals of Sensing and Control,Mr. Mallikarjun Kande,1,Lecture,CSE,A,1,2,1,1,TRUE,"ECE,DSAI"
